DATE,CANQGSP
2006-01-01,1852200.0
2006-04-01,1859177.9
2006-07-01,1883269.3
2006-10-01,1904301.9
2007-01-01,1916188.9
2007-04-01,1940770.5
2007-07-01,1966137.7
2007-10-01,2000327.0
2008-01-01,1971753.2
2008-04-01,2012750.2
2008-07-01,2019835.1
2008-10-01,1958374.3
2009-01-01,1946951.6
2009-04-01,1912526.5
2009-07-01,1903464.3
2009-10-01,1917304.9
2010-01-01,1942648.5
2010-04-01,1959030.0
2010-07-01,1972332.3
2010-10-01,2024447.3
2011-01-01,2030621.9
2011-04-01,2047761.8
2011-07-01,2054554.0
2011-10-01,2067289.5
2012-01-01,2110366.4
2012-04-01,2125748.5
2012-07-01,2149461.7
2012-10-01,2192412.4
2013-01-01,2203605.7
2013-04-01,2231370.7
2013-07-01,2273105.2
2013-10-01,2343003.1
2014-01-01,2329114.5
2014-04-01,2372268.1
2014-07-01,2429647.3
2014-10-01,2449619.5
2015-01-01,2503944.7
2015-04-01,2559187.2
2015-07-01,2574128.9
2015-10-01,2577828.2
2016-01-01,2618837.1
2016-04-01,2637628.3
2016-07-01,2672126.3
2016-10-01,2702598.9
2017-01-01,2744565.4
2017-04-01,2791563.5
2017-07-01,2838905.5
2017-10-01,2901408.2
2018-01-01,2928096.5
2018-04-01,2992622.8
2018-07-01,3017340.5
2018-10-01,3052871.3
2019-01-01,3087669.4
2019-04-01,3123731.5
