DATE,CAOTOT
2006-01-01,1497168.9
2006-04-01,1504015.5
2006-07-01,1522251.7
2006-10-01,1540793.8
2007-01-01,1565699.3
2007-04-01,1580476.3
2007-07-01,1582387.7
2007-10-01,1597729.9
2008-01-01,1602984.4
2008-04-01,1622798.6
2008-07-01,1614538.7
2008-10-01,1585997.8
2009-01-01,1548522.0
2009-04-01,1556315.3
2009-07-01,1549974.7
2009-10-01,1561241.3
2010-01-01,1594061.6
2010-04-01,1620381.4
2010-07-01,1628231.2
2010-10-01,1671156.5
2011-01-01,1721992.6
2011-04-01,1728856.2
2011-07-01,1748051.5
2011-10-01,1752859.8
2012-01-01,1811394.3
2012-04-01,1834222.3
2012-07-01,1833201.9
2012-10-01,1930771.5
2013-01-01,1843568.1
2013-04-01,1875125.4
2013-07-01,1897296.0
2013-10-01,1929526.7
2014-01-01,1961849.3
2014-04-01,2000620.1
2014-07-01,2046036.6
2014-10-01,2075647.8
2015-01-01,2117385.4
2015-04-01,2167388.9
2015-07-01,2194100.4
2015-10-01,2208914.7
2016-01-01,2232310.8
2016-04-01,2249427.3
2016-07-01,2273698.1
2016-10-01,2300123.2
2017-01-01,2329198.9
2017-04-01,2350785.6
2017-07-01,2374217.3
2017-10-01,2426247.6
2018-01-01,2465672.7
2018-04-01,2504116.2
2018-07-01,2528020.2
2018-10-01,2558707.9
2019-01-01,2598525.9
2019-04-01,2635323.3
