DATE,CAWHEA
2006-01-01,62027556.0
2006-04-01,62803436.0
2006-07-01,64251000.0
2006-10-01,65256928.0
2007-01-01,66814380.0
2007-04-01,67734544.0
2007-07-01,68795260.0
2007-10-01,70608912.0
2008-01-01,71691556.0
2008-04-01,72847976.0
2008-07-01,74217220.0
2008-10-01,75238360.0
2009-01-01,75412072.0
2009-04-01,76827224.0
2009-07-01,77767504.0
2009-10-01,78671816.0
2010-01-01,78596100.0
2010-04-01,79898468.0
2010-07-01,81008756.0
2010-10-01,81542792.0
2011-01-01,81946428.0
2011-04-01,82942244.0
2011-07-01,84650276.0
2011-10-01,84245432.0
2012-01-01,89623652.0
2012-04-01,90355868.0
2012-07-01,90697840.0
2012-10-01,93128108.0
2013-01-01,92606456.0
2013-04-01,93970620.0
2013-07-01,94001656.0
2013-10-01,95060588.0
2014-01-01,96248616.0
2014-04-01,96944776.0
2014-07-01,98647500.0
2014-10-01,100173896.0
2015-01-01,103110292.0
2015-04-01,105355880.0
2015-07-01,106454500.0
2015-10-01,108001684.0
2016-01-01,109184488.0
2016-04-01,111621252.0
2016-07-01,112694772.0
2016-10-01,114211220.0
2017-01-01,116259324.0
2017-04-01,117419516.0
2017-07-01,119424316.0
2017-10-01,120385764.0
2018-01-01,123807848.0
2018-04-01,124630188.0
2018-07-01,126285488.0
2018-10-01,127233088.0
2019-01-01,130956611.0
2019-04-01,131872600.0
