DATE,CAWTOT
2006-01-01,786281748.0
2006-04-01,781834944.0
2006-07-01,791299448.0
2006-10-01,806384972.0
2007-01-01,826182260.0
2007-04-01,832237288.0
2007-07-01,834075380.0
2007-10-01,846134736.0
2008-01-01,843883428.0
2008-04-01,847673352.0
2008-07-01,848464176.0
2008-10-01,832461432.0
2009-01-01,802888952.0
2009-04-01,801238784.0
2009-07-01,794648988.0
2009-10-01,796872848.0
2010-01-01,798130296.0
2010-04-01,810182264.0
2010-07-01,813555576.0
2010-10-01,832909372.0
2011-01-01,846441544.0
2011-04-01,844827832.0
2011-07-01,853651416.0
2011-10-01,845114776.0
2012-01-01,884066928.0
2012-04-01,889682748.0
2012-07-01,895504988.0
2012-10-01,943580528.0
2013-01-01,914548096.0
2013-04-01,929004508.0
2013-07-01,933240052.0
2013-10-01,958787976.0
2014-01-01,972197868.0
2014-04-01,978678696.0
2014-07-01,1000055284.0
2014-10-01,1017148388.0
2015-01-01,1047548092.0
2015-04-01,1066692516.0
2015-07-01,1073825620.0
2015-10-01,1082000872.0
2016-01-01,1096528744.0
2016-04-01,1107723936.0
2016-07-01,1121752960.0
2016-10-01,1138434368.0
2017-01-01,1155862188.0
2017-04-01,1176791392.0
2017-07-01,1195090824.0
2017-10-01,1225253308.0
2018-01-01,1240769060.0
2018-04-01,1258748760.0
2018-07-01,1267061932.0
2018-10-01,1282255484.0
2019-01-01,1318588239.0
2019-04-01,1331311801.0
