DATE,UNEMPLOYCA
2006-01-01,918200
2006-04-01,898500
2006-07-01,884800
2006-10-01,859300
2007-01-01,865400
2007-04-01,885900
2007-07-01,919300
2007-10-01,973100
2008-01-01,1020100
2008-04-01,1088800
2008-07-01,1183700
2008-10-01,1317800
2009-01-01,1534200
2009-04-01,1720700
2009-07-01,1925000
2009-10-01,2078000
2010-01-01,2152500
2010-04-01,2201800
2010-07-01,2218500
2010-10-01,2223700
2011-01-01,2196500
2011-04-01,2180900
2011-07-01,2151400
2011-10-01,2111400
2012-01-01,2098600
2012-04-01,2044300
2012-07-01,1976000
2012-10-01,1925200
2013-01-01,1840800
2013-04-01,1766300
2013-07-01,1723500
2013-10-01,1656500
2014-01-01,1598000
2014-04-01,1534500
2014-07-01,1461200
2014-10-01,1398300
2015-01-01,1322700
2015-04-01,1290600
2015-07-01,1226100
2015-10-01,1167800
2016-01-01,1112100
2016-04-01,1073100
2016-07-01,1055300
2016-10-01,1033600
2017-01-01,1026400
2017-04-01,991000
2017-07-01,975000
2017-10-01,918600
2018-01-01,879300
2018-04-01,862900
2018-07-01,819000
2018-10-01,812500
2019-01-01,829500
2019-04-01,806800
2019-07-01,789900
